player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Karl Hein,u,0.0,0.0,4.0,0,0.0,0.0,23
Jurriën Timber,a,100.0,100.0,5.6,5,2.0,2.5,23
Jorge Luiz Frello Filho,a,100.0,100.0,4.7,0,0.5,1.0,23
Jakub Kiwior,a,,,4.8,0,0.0,0.5,23
Gabriel Martinelli Silva,a,100.0,100.0,6.7,3,3.0,3.5,23
Ethan Nwaneri,a,100.0,100.0,4.5,1,1.8,2.3,23
Martin Ødegaard,a,100.0,100.0,8.2,0,2.8,3.3,23
David Raya Martin,d,75.0,100.0,5.5,9,2.8,4.3,23
Declan Rice,a,100.0,100.0,6.2,3,2.8,3.3,23
Bukayo Saka,i,0.0,0.0,10.2,0,0.0,0.0,23
William Saliba,a,100.0,50.0,6.2,9,3.2,1.9,23
Thomas Partey,a,100.0,100.0,4.9,3,2.2,2.7,23
Kieran Tierney,a,100.0,100.0,4.3,1,0.5,1.0,23
Leandro Trossard,a,100.0,100.0,6.8,3,6.0,6.5,23
Benjamin White,i,0.0,0.0,6.1,0,0.0,0.0,23
Oleksandr Zinchenko,a,100.0,100.0,4.8,0,0.2,0.7,23
Norberto Murara Neto,a,100.0,100.0,4.1,0,0.0,0.5,23
Raheem Sterling,a,100.0,100.0,6.7,0,0.5,1.0,23
Riccardo Calafiori,a,100.0,100.0,5.8,7,2.0,2.5,23
Myles Lewis-Skelly,a,100.0,75.0,4.5,-2,0.2,0.5,23
Mikel Merino,a,100.0,100.0,6.0,0,1.8,2.3,23
Maldini Kacurri,a,,,4.0,0,0.0,0.5,23
Ismeal Kabia,a,,,4.5,0,0.0,0.5,23
Josh Nichols,a,,,4.0,0,0.0,0.5,23
Nathan Butler-Oyedeji,a,,,4.5,0,0.0,0.5,23
Mikel Arteta,a,,,1.5,9,4.0,4.5,23
Jack Porter,a,,,4.0,0,1.3,1.8,23
Leon Bailey,a,100.0,100.0,6.2,3,3.2,3.2,23
Ayden Heaven,a,,,4.0,0,0.0,0.5,23
Ross Barkley,i,0.0,0.0,5.2,0,0.0,0.0,23
Enzo Barrenechea,u,0.0,0.0,4.9,0,0.0,0.0,23
Emiliano Buendía Stati,a,,,5.1,1,0.8,0.8,23
Matty Cash,i,0.0,100.0,4.4,2,0.0,3.8,23
Lucas Digne,a,,,4.6,2,3.5,3.5,23
Lewis Dobbin,u,0.0,0.0,5.0,0,0.0,0.0,23
Jhon Durán,a,100.0,100.0,5.7,1,0.5,0.5,23
Joe Gauci,a,,,4.0,0,0.0,0.0,23
Kortney Hause,a,,,3.9,0,0.0,0.0,23
Samuel Iling-Junior,u,0.0,0.0,5.4,0,0.0,0.0,23
Boubacar Kamara,a,100.0,100.0,5.0,3,2.2,2.2,23
Kaine Kesler-Hayden,u,0.0,0.0,4.0,0,0.0,0.0,23
Ezri Konsa Ngoyo,a,100.0,100.0,4.4,2,3.2,3.2,23
Ian Maatsen,a,100.0,100.0,4.5,1,1.2,1.2,23
Filip Marschall,u,0.0,0.0,4.0,0,0.0,0.0,23
Emiliano Martínez Romero,a,100.0,100.0,5.0,2,3.0,3.0,23
John McGinn,a,100.0,75.0,5.2,1,0.5,0.4,23
Tyrone Mings,i,0.0,100.0,4.4,1,0.0,3.2,23
Kosta Nedeljković,a,,,3.9,0,0.0,0.0,23
Morgan Rogers,a,100.0,100.0,5.6,1,2.0,2.0,23
Viljami Sinisalo,u,0.0,0.0,4.0,0,0.0,0.0,23
Lino da Cruz Sousa,u,0.0,0.0,4.0,0,0.0,0.0,23
Youri Tielemans,a,,,5.5,1,3.5,3.5,23
Ollie Watkins,a,100.0,100.0,8.9,5,5.8,5.8,23
Oliwier Zych,a,,,4.0,0,0.0,0.0,19
Leander Dendoncker,u,0.0,0.0,4.5,0,0.0,0.0,20
Amadou Onana,d,50.0,0.0,4.8,0,0.4,0.0,23
Lamare Bogarde,a,,,4.0,0,0.2,0.2,23
Sil Swinkels,a,,,4.0,0,0.0,0.0,23
Jamaldeen Jimoh,a,,,4.5,0,0.0,0.0,23
Donyell Malen,a,,,5.5,1,0.5,0.5,23
Andrés García,a,,,4.5,0,2.1,2.1,23
Unai Emery,a,,,0.8,4,1.6,1.6,23
Max Aarons,u,0.0,0.0,4.3,0,0.0,0.0,23
Tyler Adams,a,100.0,100.0,4.9,9,3.5,4.0,23
Jaidon Anthony,u,0.0,0.0,4.5,0,0.0,0.0,23
David Brooks,a,100.0,100.0,4.9,3,2.5,3.0,23
Ryan Christie,a,100.0,100.0,4.9,3,2.3,2.8,23
Lewis Cook,a,100.0,100.0,5.0,2,1.7,2.2,23
Enes Ünal,i,0.0,0.0,5.4,0,0.0,0.0,23
Romain Faivre,u,0.0,0.0,5.0,0,0.0,0.0,23
Hamed Traorè,u,0.0,0.0,4.5,0,0.0,0.0,23
James Hill,i,0.0,0.0,3.9,0,0.0,0.0,23
Daniel Jebbison,a,100.0,100.0,4.5,1,0.0,0.5,23
Milos Kerkez,a,100.0,100.0,4.9,6,6.0,6.5,23
Justin Kluivert,a,100.0,100.0,5.8,13,11.0,11.5,23
Chris Mepham,u,0.0,0.0,4.4,0,0.0,0.0,23
Dango Ouattara,a,100.0,100.0,5.0,21,7.0,7.5,23
Alex Paulsen,u,0.0,0.0,4.0,0,0.0,0.0,23
Philip Billing,u,0.0,0.0,4.8,0,0.0,0.0,23
Alex Scott,i,0.0,0.0,4.7,0,0.0,0.0,23
Antoine Semenyo,a,100.0,100.0,5.6,9,6.7,7.2,23
Marcos Senesi,i,0.0,0.0,4.6,0,0.0,0.0,23
Luis Sinisterra,d,50.0,0.0,4.8,0,-0.2,0.0,23
Adam Smith,i,0.0,0.0,4.4,0,0.0,0.0,23
Marcus Tavernier,a,100.0,50.0,5.4,7,1.3,0.9,23
Mark Travers,a,,,4.4,0,1.7,2.2,23
Illia Zabarnyi,a,,,4.4,5,3.3,3.8,23
Kepa Arrizabalaga,a,100.0,100.0,4.5,7,2.0,2.5,23
Dean Huijsen,a,,,4.4,6,3.5,4.0,23
Julián Araujo Zúñiga,i,0.0,0.0,4.3,0,0.0,0.0,23
Francisco Evanilson de Lima Barbosa,i,0.0,0.0,5.6,0,0.0,0.0,23
Ben Winterburn,a,,,4.5,0,-0.3,0.2,23
Archie Harris,a,,,4.0,0,-0.5,0.0,23
Remy Rees-Dottin,a,,,4.5,0,-0.3,0.2,23
Matai Akinmboni,a,,,4.0,0,-0.5,0.0,23
Julio Soler,i,0.0,0.0,4.0,0,0.0,0.0,23
Daniel Adu-Adjei,a,,,4.5,0,-0.5,0.0,23
Dominic Sadi,a,,,4.5,0,-0.5,0.0,23
Callan McKenna,a,,,4.0,0,-0.5,0.0,23
