name,position,team,xP,minutes,starts,total_points,value,gw
Alex Scott,MID,Bournemouth,1.6,62,1,2,50,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,2.2,0,0,0,45,1
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,50,1
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,45,1
Ben Brereton Díaz,MID,Southampton,1.0,70,1,1,55,1
Pau Torres,DEF,Aston Villa,1.9,90,1,2,45,1
Joel Ward,DEF,Crystal Palace,1.9,0,0,0,45,1
Will Lankshear,FWD,Spurs,1.5,0,0,0,45,1
Hwang Hee-chan,MID,Wolves,1.3,90,1,2,65,1
Mikey Moore,MID,Spurs,1.5,0,0,0,45,1
Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,40,1
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,40,1
João Victor Gomes da Silva,MID,Wolves,0.6,83,1,1,50,1
Cole Palmer,MID,Chelsea,2.4,90,1,2,105,1
Mitoma Kaoru,MID,Brighton,2.3,88,1,8,65,1
Boubakary Soumaré,MID,Leicester,0.5,11,0,1,45,1
Chris Wood,FWD,Nott'm Forest,2.0,71,1,9,60,1
Joe Worrall,DEF,Nott'm Forest,1.9,0,0,0,45,1
Jeffrey Schlupp,MID,Crystal Palace,1.6,0,0,0,50,1
Milos Kerkez,DEF,Bournemouth,1.9,90,1,1,45,1
Adrian Mazilu,MID,Brighton,1.0,0,0,0,45,1
Jason Steele,GK,Brighton,2.2,90,1,7,45,1
Arijanet Muric,GK,Ipswich,1.2,0,0,0,45,1
Carl Rushworth,GK,Brighton,1.0,0,0,0,40,1
Ibrahim Sangaré,MID,Nott'm Forest,1.0,90,1,2,45,1
Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,45,1
Brandon Austin,GK,Spurs,1.5,0,0,0,40,1
Conor Coady,DEF,Leicester,0.0,0,0,0,40,1
Wes Foderingham,GK,West Ham,2.2,0,0,0,45,1
Armando Broja,FWD,Chelsea,0.7,0,0,0,55,1
Adam Webster,DEF,Brighton,1.9,14,0,1,45,1
Thomas Partey,MID,Arsenal,2.6,90,1,3,50,1
Harry Wilson,MID,Fulham,2.0,12,0,1,55,1
Kasey McAteer,MID,Leicester,1.1,4,0,1,50,1
Curtis Jones,MID,Liverpool,3.0,0,0,0,55,1
Wes Burns,MID,Ipswich,0.6,56,1,0,50,1
Yunus Emre Konak,MID,Brentford,1.0,0,0,0,45,1
Max Kilman,DEF,West Ham,1.9,90,1,1,45,1
Deniz Undav,FWD,Brighton,0.0,0,0,0,55,1
Alex Murphy,DEF,Newcastle,2.0,0,0,0,40,1
George Edmundson,DEF,Ipswich,0.0,0,0,0,40,1
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,3.3,45,1,1,65,1
Emerson Palmieri dos Santos,DEF,West Ham,1.9,90,1,1,45,1
Abdoulaye Doucouré,MID,Everton,2.0,62,1,2,55,1
José Malheiro de Sá,GK,Wolves,1.2,90,1,2,45,1
Alexander Isak,FWD,Newcastle,3.6,90,1,5,85,1
Yves Bissouma,MID,Spurs,0.0,0,0,0,50,1
Conor Gallagher,MID,Chelsea,1.2,0,0,0,60,1
Philip Billing,MID,Bournemouth,1.6,6,0,1,50,1
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.0,0,0,0,55,1
Brajan Gruda,MID,Brighton,2.0,0,0,0,55,1
Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,65,1
Đorđe Petrović,GK,Chelsea,1.2,0,0,0,45,1
Craig Dawson,DEF,Wolves,0.9,6,0,1,45,1
Jordan Ayew,MID,Crystal Palace,2.0,20,0,0,55,1
Marcos Senesi,DEF,Bournemouth,2.4,0,0,0,50,1
Kiernan Dewsbury-Hall,MID,Chelsea,1.2,24,0,1,60,1
Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,40,1
João Cavaco Cancelo,DEF,Man City,3.8,0,0,0,55,1
Maxwel Cornet,MID,West Ham,1.6,0,0,0,50,1
Jefferson Lerma Solís,MID,Crystal Palace,1.6,16,0,1,50,1
Jannik Vestergaard,DEF,Leicester,0.5,90,1,2,40,1
Luke Thomas,DEF,Leicester,0.5,0,0,0,40,1
Bruno Borges Fernandes,MID,Man Utd,2.9,90,1,3,85,1
Adam Smith,DEF,Bournemouth,1.9,62,1,2,45,1
Miodrag Pivaš,DEF,Newcastle,2.0,0,0,0,40,1
Billy Gilmour,MID,Brighton,1.6,8,0,1,50,1
Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,70,1
Callum Wilson,FWD,Newcastle,0.0,0,0,0,70,1
Crysencio Summerville,MID,West Ham,2.2,17,0,1,60,1
Jesurun Rak-Sakyi,MID,Crystal Palace,1.0,0,0,0,45,1
Oliver Skipp,MID,Spurs,2.1,0,0,0,50,1
Tomáš Souček,MID,West Ham,1.6,90,1,5,50,1
Taylor Harwood-Bellis,DEF,Southampton,0.0,90,1,1,40,1
Alphonse Areola,GK,West Ham,2.2,90,1,1,45,1
Lisandro Martínez,DEF,Man Utd,1.9,90,1,7,45,1
Richarlison de Andrade,FWD,Spurs,2.7,1,0,1,70,1
Joško Gvardiol,DEF,Man City,4.2,90,1,7,60,1
Harry Clarke,DEF,Ipswich,0.0,0,0,0,40,1
Joachim Andersen,DEF,Crystal Palace,1.9,90,1,0,45,1
Moisés Caicedo Corozo,MID,Chelsea,0.6,90,1,1,50,1
Carlos Henrique Casimiro,MID,Man Utd,1.6,90,1,3,50,1
Jhon Durán,FWD,Aston Villa,2.0,28,0,6,60,1
Jacob Murphy,MID,Newcastle,3.0,29,1,1,55,1
Sean Longstaff,MID,Newcastle,2.6,90,1,3,50,1
Leander Dendoncker,MID,Aston Villa,1.0,0,0,0,45,1
Trevoh Chalobah,DEF,Chelsea,0.9,0,0,0,45,1
Ryan Manning,DEF,Southampton,0.9,0,0,0,45,1
Vitalii Mykolenko,DEF,Everton,1.9,90,1,1,45,1
Ryan Christie,MID,Bournemouth,1.6,27,0,1,50,1
Fábio Silva,FWD,Wolves,0.4,0,0,0,50,1
Kepa Arrizabalaga,GK,Chelsea,1.2,0,0,0,45,1
Frank Onyeka,MID,Brentford,1.6,6,0,1,50,1
Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,50,1
Morgan Gibbs-White,MID,Nott'm Forest,2.3,90,1,2,65,1
Noni Madueke,MID,Chelsea,1.3,0,0,0,65,1
Nélson Cabral Semedo,DEF,Wolves,0.0,0,0,0,45,1
Tommy Doyle,MID,Wolves,0.6,0,0,0,50,1
Tom Heaton,GK,Man Utd,1.0,0,0,0,40,1
Lucas Bergvall,MID,Spurs,1.5,12,0,1,45,1
Lesley Ugochukwu,MID,Chelsea,0.0,0,0,0,45,1
Evan Ferguson,FWD,Brighton,0.9,0,0,0,55,1
Christian Eriksen,MID,Man Utd,2.0,0,0,0,55,1
Danny Ings,FWD,West Ham,1.4,5,0,1,50,1
Jean-Ricner Bellegarde,MID,Wolves,0.6,56,1,1,50,1
