name,position,team,xP,minutes,starts,total_points,value,gw
Aaron Cresswell,DEF,West Ham,1.0,0,0,0,40,1
Aaron Hickey,DEF,Brentford,0.0,0,0,0,45,1
Aaron Ramsdale,GK,Arsenal,3.2,0,0,0,45,1
Aaron Wan-Bissaka,DEF,West Ham,1.9,0,0,0,45,1
Abdoulaye Doucouré,MID,Everton,2.0,62,1,2,55,1
Abdul Fatawu,MID,Leicester,1.5,90,1,8,55,1
Adam Armstrong,FWD,Southampton,0.7,90,1,2,55,1
Adam Lallana,MID,Southampton,0.0,0,0,0,50,1
Adam Smith,DEF,Bournemouth,1.9,62,1,2,45,1
Adam Webster,DEF,Brighton,1.9,14,0,1,45,1
Adam Wharton,MID,Crystal Palace,1.6,73,1,2,50,1
Adama Traoré,MID,Fulham,1.6,77,1,3,50,1
Adrian Mazilu,MID,Brighton,1.0,0,0,0,45,1
Alejandro Garnacho,MID,Man Utd,2.3,29,0,4,65,1
Alejo Véliz,FWD,Spurs,0.0,0,0,0,50,1
Alex Iwobi,MID,Fulham,2.0,90,1,2,55,1
Alex McCarthy,GK,Southampton,1.2,90,1,2,45,1
Alex Mighten,MID,Nott'm Forest,1.0,0,0,0,45,1
Alex Murphy,DEF,Newcastle,2.0,0,0,0,40,1
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,40,1
Alex Scott,MID,Bournemouth,1.6,62,1,2,50,1
Alexander Isak,FWD,Newcastle,3.6,90,1,5,85,1
Alexis Mac Allister,MID,Liverpool,3.3,90,1,3,65,1
Alfie Devine,MID,Spurs,1.5,0,0,0,45,1
Alfie Gilchrist,DEF,Chelsea,0.0,0,0,0,40,1
Alfie Whiteman,GK,Spurs,1.5,0,0,0,40,1
Ali Al-Hamadi,FWD,Ipswich,0.4,16,0,1,50,1
Alisson Ramses Becker,GK,Liverpool,5.0,90,1,7,55,1
Alphonse Areola,GK,West Ham,2.2,90,1,1,45,1
Altay Bayindir,GK,Man Utd,2.2,0,0,0,45,1
Amad Diallo,MID,Man Utd,1.6,60,1,3,50,1
Amadou Onana,MID,Aston Villa,1.6,90,1,10,50,1
Amario Cozier-Duberry,MID,Brighton,1.0,0,0,0,45,1
Andreas Hoelgebaum Pereira,MID,Fulham,2.0,90,1,1,55,1
Andrew Moran,MID,Brighton,1.6,0,0,0,50,1
Andrew Omobamidele,DEF,Nott'm Forest,1.9,0,0,0,45,1
Andrew Robertson,DEF,Liverpool,4.2,78,1,6,60,1
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,45,1
André Onana,GK,Man Utd,3.1,90,1,6,50,1
Andy Irving,MID,West Ham,1.6,0,0,0,50,1
Anthony Elanga,MID,Nott'm Forest,2.0,53,1,1,55,1
Anthony Gordon,MID,Newcastle,3.6,69,1,3,75,1
Antoine Semenyo,MID,Bournemouth,2.0,90,1,8,55,1
Antonee Robinson,DEF,Fulham,1.9,90,1,2,45,1
Antony Matheus dos Santos,MID,Man Utd,2.2,0,0,0,60,1
Archie Gray,MID,Spurs,2.1,12,0,1,50,1
Arijanet Muric,GK,Ipswich,1.2,0,0,0,45,1
Armando Broja,FWD,Chelsea,0.7,0,0,0,55,1
