name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Karl Hein,u,0.0,0.0,4.0,0,0.0,0.0,23,GK,Arsenal,0.0,0,0,0,40
Jurriën Timber,a,100.0,100.0,5.6,5,2.0,2.5,23,DEF,Arsenal,2.3,90,1,5,56
Jorge Luiz Frello Filho,a,100.0,100.0,4.7,0,0.5,1.0,23,MID,Arsenal,1.1,0,0,0,47
Jakub Kiwior,a,,,4.8,0,0.0,0.5,23,DEF,Arsenal,0.5,0,0,0,48
Gabriel Martinelli Silva,a,100.0,100.0,6.7,3,3.0,3.5,23,MID,Arsenal,4.7,86,1,3,67
Ethan Nwaneri,a,100.0,100.0,4.5,1,1.8,2.3,23,MID,Arsenal,2.3,45,1,1,45
Martin Ødegaard,a,100.0,100.0,8.2,0,2.8,3.3,23,MID,Arsenal,3.1,0,0,0,83
David Raya Martin,d,75.0,100.0,5.5,9,2.8,4.3,23,GK,Arsenal,3.9,90,1,9,56
Declan Rice,a,100.0,100.0,6.2,3,2.8,3.3,23,MID,Arsenal,2.9,90,1,3,62
Bukayo Saka,i,0.0,0.0,10.2,0,0.0,0.0,23,MID,Arsenal,0.0,0,0,0,102
William Saliba,a,100.0,50.0,6.2,9,3.2,1.9,23,DEF,Arsenal,1.8,90,1,9,62
Thomas Partey,a,100.0,100.0,4.9,3,2.2,2.7,23,MID,Arsenal,3.3,90,1,3,50
Kieran Tierney,a,100.0,100.0,4.3,1,0.5,1.0,23,DEF,Arsenal,0.9,3,0,1,43
Leandro Trossard,a,100.0,100.0,6.8,3,6.0,6.5,23,MID,Arsenal,5.5,90,1,3,68
Benjamin White,i,0.0,0.0,6.1,0,0.0,0.0,23,DEF,Arsenal,0.0,0,0,0,61
Oleksandr Zinchenko,a,100.0,100.0,4.8,0,0.2,0.7,23,DEF,Arsenal,0.9,0,0,0,48
Norberto Murara Neto,a,100.0,100.0,4.1,0,0.0,0.5,23,GK,Arsenal,0.5,0,0,0,41
Raheem Sterling,a,100.0,100.0,6.7,0,0.5,1.0,23,MID,Arsenal,0.9,0,0,0,67
Riccardo Calafiori,a,100.0,100.0,5.8,7,2.0,2.5,23,DEF,Arsenal,2.3,45,0,7,58
Myles Lewis-Skelly,a,100.0,75.0,4.5,-2,0.2,0.5,23,MID,Arsenal,0.7,42,1,-2,45
Mikel Merino,a,100.0,100.0,6.0,0,1.8,2.3,23,MID,Arsenal,3.5,0,0,0,60
Maldini Kacurri,a,,,4.0,0,0.0,0.5,23,DEF,Arsenal,0.5,0,0,0,40
Ismeal Kabia,a,,,4.5,0,0.0,0.5,23,MID,Arsenal,0.5,0,0,0,45
Josh Nichols,a,,,4.0,0,0.0,0.5,23,DEF,Arsenal,0.5,0,0,0,40
Nathan Butler-Oyedeji,a,,,4.5,0,0.0,0.5,23,FWD,Arsenal,0.5,0,0,0,45
Mikel Arteta,a,,,1.5,9,4.0,4.5,23,AM,Arsenal,4.5,0,0,9,15
Jack Porter,a,,,4.0,0,1.3,1.8,23,GK,Arsenal,1.8,0,0,0,40
